Status, Date, Latitude, Longitude, Count
2, 3/15/2020, 42.242, -73.527, 1
2, 3/15/2020, 42.426, -73.343, 1
2, 3/15/2020, 42.61, -73.281, 1
2, 3/15/2020, 42.41, -73.24, 1
2, 3/15/2020, 42.441, -73.219, 1
2, 3/15/2020, 42.395, -73.178, 1
2, 3/15/2020, 42.38, -73.178, 1
2, 3/15/2020, 42.165, -73.137, 1
2, 3/15/2020, 42.932, -72.932, 1
2, 3/15/2020, 42.441, -72.029, 1
2, 3/15/2020, 42.196, -71.865, 1
2, 3/15/2020, 42.656, -71.64, 1
2, 3/15/2020, 42.595, -71.64, 1
2, 3/15/2020, 42.549, -71.619, 2
2, 3/15/2020, 42.503, -71.619, 1
2, 3/15/2020, 42.426, -71.537, 1
2, 3/15/2020, 42.503, -71.517, 1
2, 3/15/2020, 42.288, -71.517, 1
2, 3/15/2020, 42.687, -71.496, 1
2, 3/15/2020, 42.579, -71.496, 1
2, 3/15/2020, 42.702, -71.455, 1
2, 3/15/2020, 42.318, -71.455, 1
2, 3/15/2020, 42.625, -71.434, 1
2, 3/15/2020, 42.641, -71.414, 1
2, 3/15/2020, 42.595, -71.414, 1
2, 3/15/2020, 42.579, -71.414, 1
2, 3/15/2020, 42.564, -71.414, 1
2, 3/15/2020, 42.518, -71.414, 1
2, 3/15/2020, 42.702, -71.393, 1
2, 3/15/2020, 42.549, -71.393, 1
2, 3/15/2020, 42.61, -71.373, 1
2, 3/15/2020, 42.564, -71.373, 1
2, 3/15/2020, 42.549, -71.373, 1
2, 3/15/2020, 42.518, -71.373, 1
2, 3/15/2020, 42.395, -71.373, 1
2, 3/15/2020, 42.303, -71.373, 1
2, 3/15/2020, 42.088, -71.373, 1
2, 3/15/2020, 42.564, -71.352, 3
2, 3/15/2020, 42.134, -71.352, 1
2, 3/15/2020, 42.671, -71.332, 1
2, 3/15/2020, 42.61, -71.332, 1
2, 3/15/2020, 42.595, -71.332, 1
2, 3/15/2020, 42.579, -71.332, 1
2, 3/15/2020, 42.564, -71.332, 3
2, 3/15/2020, 42.518, -71.332, 2
2, 3/15/2020, 42.119, -71.332, 1
2, 3/15/2020, 42.104, -71.332, 1
2, 3/15/2020, 42.088, -71.332, 1
2, 3/15/2020, 42.61, -71.311, 1
2, 3/15/2020, 42.579, -71.311, 1
2, 3/15/2020, 42.441, -71.311, 1
2, 3/15/2020, 42.364, -71.311, 1
2, 3/15/2020, 42.119, -71.311, 1
2, 3/15/2020, 42.088, -71.311, 2
2, 3/15/2020, 42.564, -71.291, 2
2, 3/15/2020, 42.549, -71.291, 1
2, 3/15/2020, 42.518, -71.291, 1
2, 3/15/2020, 42.364, -71.291, 1
2, 3/15/2020, 42.119, -71.291, 4
2, 3/15/2020, 42.104, -71.291, 1
2, 3/15/2020, 42.088, -71.291, 1
2, 3/15/2020, 42.027, -71.291, 1
2, 3/15/2020, 42.61, -71.27, 1
2, 3/15/2020, 42.503, -71.27, 1
2, 3/15/2020, 42.441, -71.27, 1
2, 3/15/2020, 42.119, -71.27, 2
2, 3/15/2020, 42.073, -71.27, 1
2, 3/15/2020, 42.917, -71.25, 1
2, 3/15/2020, 42.702, -71.25, 2
2, 3/15/2020, 42.564, -71.25, 2
2, 3/15/2020, 42.549, -71.25, 1
2, 3/15/2020, 42.533, -71.25, 1
2, 3/15/2020, 42.457, -71.25, 1
2, 3/15/2020, 42.165, -71.25, 1
2, 3/15/2020, 42.134, -71.25, 1
2, 3/15/2020, 42.119, -71.25, 3
2, 3/15/2020, 42.549, -71.229, 1
2, 3/15/2020, 42.349, -71.229, 1
2, 3/15/2020, 42.134, -71.229, 1
2, 3/15/2020, 42.595, -71.209, 1
2, 3/15/2020, 42.533, -71.209, 1
2, 3/15/2020, 42.503, -71.188, 1
2, 3/15/2020, 42.257, -71.188, 1
2, 3/15/2020, 42.073, -71.188, 1
2, 3/15/2020, 42.779, -71.168, 1
2, 3/15/2020, 42.564, -71.168, 1
2, 3/15/2020, 42.426, -71.168, 2
2, 3/15/2020, 42.303, -71.168, 1
2, 3/15/2020, 42.104, -71.168, 1
2, 3/15/2020, 42.395, -71.147, 1
2, 3/15/2020, 42.364, -71.147, 1
2, 3/15/2020, 42.334, -71.147, 1
2, 3/15/2020, 42.318, -71.147, 1
2, 3/15/2020, 42.395, -71.127, 1
2, 3/15/2020, 42.38, -71.127, 1
2, 3/15/2020, 42.364, -71.127, 3
2, 3/15/2020, 42.349, -71.127, 1
2, 3/15/2020, 42.687, -71.106, 1
2, 3/15/2020, 42.579, -71.106, 1
2, 3/15/2020, 42.364, -71.106, 1
2, 3/15/2020, 42.196, -71.106, 1
2, 3/15/2020, 42.426, -71.086, 1
2, 3/15/2020, 42.395, -71.086, 1
2, 3/15/2020, 42.38, -71.086, 4
2, 3/15/2020, 42.288, -71.086, 1
2, 3/15/2020, 41.674, -71.086, 1
2, 3/15/2020, 42.364, -71.065, 1
2, 3/15/2020, 42.318, -71.065, 1
2, 3/15/2020, 42.457, -71.024, 1
2, 3/15/2020, 42.349, -71.024, 1
2, 3/15/2020, 42.687, -70.983, 1
2, 3/15/2020, 42.671, -70.983, 1
2, 3/15/2020, 42.518, -70.901, 1
2, 3/15/2020, 42.671, -70.819, 1
2, 3/15/2020, 42.625, -70.798, 1
2, 3/15/2020, 41.72, -70.142, 1
4, 3/17/2020, 42.119, -71.311, 1
4, 3/18/2020, 42.119, -71.311, 1
4, 3/20/2020, 42.518, -71.414, 1
4, 3/20/2020, 42.119, -71.311, 1
4, 3/21/2020, 42.518, -71.414, 1
4, 3/21/2020, 42.119, -71.311, 1
4, 3/22/2020, 42.318, -71.804, 1
4, 3/22/2020, 42.518, -71.414, 1
4, 3/22/2020, 42.119, -71.311, 1
4, 3/23/2020, 42.318, -71.804, 1
4, 3/23/2020, 42.518, -71.414, 1
4, 3/23/2020, 42.119, -71.311, 1
